User_Name,Current_Bank,Card_Type,Grocery,Travelling,Electricity,Internet,EMI,Dining,Entertainment,OTT,Ecommerce,UPI_Transactions,Total_Discount_Earned
User_1,Axis,Cashback,5890,12464,11784,6765,17350,4926,14923,11863,16523,8822,4792.48
User_2,Kotak,Cashback,1269,2933,5811,5551,6920,18068,6896,9166,19442,18931,4369.65
User_3,Axis,Premium,689,19618,3505,2399,1767,18412,11894,4056,4390,9338,4777.45
User_4,Amex,Cashback,15002,11127,9292,11055,10753,8933,10733,11516,3112,16287,4087.21
User_5,Amex,Premium,12706,8726,15041,3652,2085,4443,19957,1521,12153,11305,5711.49
User_6,ICICI,Premium,8489,10192,13490,7373,6175,661,4797,1495,12034,8129,3542.17
User_7,Axis,Cashback,9029,17762,9768,12685,6831,9071,7708,5776,18946,16948,5140.09
User_8,HDFC,Rewards,3068,2527,3195,15922,5758,7236,891,14486,13166,6392,5678.97
User_9,ICICI,Rewards,6684,19983,8892,13567,15765,19988,2954,12337,14539,19615,8072.24
User_10,Kotak,Rewards,10262,5556,15448,8610,14273,17912,1002,7410,13185,706,5003.17
User_11,ICICI,Travel,18368,16434,17747,19674,9255,12883,18641,15320,8074,6874,9232.85
User_12,Amex,Rewards,1559,16698,10414,11317,11421,10289,16812,11752,3193,14431,9073.01
User_13,Axis,Premium,16657,10673,18547,10730,16207,11994,1806,7276,9974,8026,4564.65
User_14,Kotak,Premium,6030,4248,14045,1163,2498,8494,18379,3804,18737,14308,4301.95
User_15,ICICI,Premium,18175,12149,2136,17582,5237,15055,14377,1354,6355,7892,6728.99
User_16,HDFC,Rewards,14449,18591,6291,5431,702,11947,13188,4889,2827,8504,5712.88
User_17,Axis,Travel,697,2430,12274,15587,9839,12089,19395,16208,17543,3311,4826.81
User_18,SBI,Premium,7046,2486,8838,11911,3411,2234,18727,9180,19860,18843,3831.31
User_19,ICICI,Premium,5236,2302,8655,8620,7116,14757,14986,17146,14575,9708,6738.18
User_20,Axis,Premium,13668,2549,5923,15089,19992,7658,10748,7900,10374,15651,4159.97
User_21,SBI,Premium,6795,12683,13374,18532,6039,10137,16086,3057,6092,16982,3885.43
User_22,HDFC,Cashback,3461,14707,12469,3369,17840,14492,6199,4487,13946,1718,4376.08
User_23,HDFC,Premium,11796,5055,9646,8550,13257,17929,7393,18577,14873,15065,7626.0
User_24,Amex,Rewards,11177,6395,17109,16136,7522,9651,6100,8496,9507,13446,6103.97
User_25,Axis,Rewards,11812,8179,8708,19089,11216,17953,3944,11257,14934,1560,5526.13
User_26,Amex,Cashback,801,12968,17490,1199,690,10992,17864,3475,6602,18068,5032.33
User_27,SBI,Premium,2316,1069,5942,2395,19617,4363,13413,7955,4514,11593,1848.73
User_28,ICICI,Rewards,17038,11229,1909,12749,1284,8596,8060,13033,7843,7706,6608.12
User_29,Amex,Travel,19690,17421,6486,18725,11147,9216,19834,12823,5280,2868,8938.62
User_30,Kotak,Premium,11393,13903,13621,11466,1353,17458,18032,10407,5277,15838,5315.94
User_31,Axis,Cashback,15828,15099,3551,16479,16888,1376,4642,15702,7466,7579,3461.96
User_32,Axis,Premium,4965,17519,13917,18577,8811,17714,14598,5677,14762,8808,6583.96
User_33,Kotak,Rewards,1650,2431,9704,18548,1581,17396,13907,8305,5737,17443,5324.73
User_34,HDFC,Premium,16744,13684,3843,14000,10162,17464,15625,8630,2179,4006,6249.17
User_35,Amex,Travel,19628,9935,11810,13796,19025,13745,11651,10957,2979,4952,6965.12
User_36,ICICI,Travel,14569,3349,7890,12422,2989,10323,9707,10040,16864,5111,4902.74
User_37,ICICI,Cashback,16847,1351,18571,7333,12438,2927,4500,5552,3238,5887,2201.43
User_38,SBI,Cashback,6036,13979,4413,17950,11136,6226,3873,12661,2582,16781,2682.56
User_39,ICICI,Travel,11761,917,9308,3767,17709,6245,11838,912,8043,8087,3362.58
User_40,HDFC,Cashback,12157,6488,19388,3467,15027,19670,16548,18006,18455,5573,7356.88
User_41,HDFC,Rewards,2643,7857,12543,3940,6144,11018,15052,3414,14084,12644,5970.68
User_42,Kotak,Premium,14691,1228,18249,1198,7686,15012,14423,17279,7900,4671,5674.86
User_43,HDFC,Rewards,17601,19666,5986,8835,4991,11630,8151,1667,1562,19040,5038.48
User_44,Amex,Travel,11674,5229,9848,5834,9424,4830,7301,5346,7231,15868,3716.87
User_45,ICICI,Travel,3039,7556,12016,11993,2042,14464,18075,6813,19565,18424,7407.44
User_46,Amex,Cashback,14307,10080,18249,9191,7994,4812,1824,3641,2310,7088,2251.17
User_47,Axis,Travel,15985,12214,5248,9935,4209,13616,10076,10650,19956,7030,5774.59
User_48,Amex,Premium,1004,1714,2031,1323,17812,5529,13928,17017,2605,4127,3766.06
User_49,Amex,Premium,2352,5410,11503,14343,12204,16261,6690,18140,6145,10088,6490.14
User_50,Kotak,Travel,3830,19587,9162,7614,13823,1853,11475,11523,1167,9837,3358.95
User_51,Axis,Premium,4219,19629,7983,1039,5464,5335,6542,15337,7812,5820,4560.38
User_52,HDFC,Cashback,3279,17808,2081,13177,6213,17139,5304,18722,10636,509,5722.15
User_53,Kotak,Travel,5624,1515,2693,8915,14050,15012,4658,7470,7438,14272,2948.42
User_54,HDFC,Travel,10844,7766,9202,884,904,8675,15658,13263,18884,10360,4969.82
User_55,Kotak,Rewards,18344,4136,11416,5309,13956,15944,6497,2548,12838,17600,5167.5
User_56,Axis,Travel,5044,5476,13275,10515,3919,14930,7739,14989,17133,10857,4829.25
User_57,SBI,Rewards,4863,10676,17961,8927,9080,5358,10540,19698,15754,11970,3864.29
User_58,Amex,Cashback,12673,5173,16281,13551,7381,7449,10021,8517,7441,10709,3737.81
User_59,Axis,Cashback,10050,5137,5354,10820,19064,5392,7543,17021,19716,4664,4785.57
User_60,ICICI,Travel,14888,6069,4800,6769,4318,12515,12734,18790,6754,17644,5970.17
User_61,SBI,Travel,13147,10411,8972,18771,3766,1166,4688,17555,10661,11814,3321.04
User_62,SBI,Cashback,13391,5277,4400,14216,7481,6876,17407,19277,19477,10660,4446.34
User_63,Kotak,Travel,14624,16782,10988,5740,10953,10978,12894,19762,4932,14068,4920.06
User_64,HDFC,Rewards,18160,802,17522,555,13513,9217,8650,2625,11979,16245,4890.41
User_65,Amex,Travel,5121,15534,14123,5626,5622,18530,17802,19681,6370,2031,9972.58
User_66,Amex,Travel,8173,7382,2406,3586,14003,8652,6250,13272,10767,1562,5010.26
User_67,HDFC,Cashback,6729,17009,15647,5132,6788,4096,11975,6668,10295,8061,3721.1
User_68,SBI,Cashback,6871,14869,13410,8443,12699,16228,7238,16413,2972,19623,3065.98
User_69,ICICI,Premium,2261,10667,11054,17760,14777,4312,18344,18617,2105,6122,6389.72
User_70,Axis,Travel,11089,14418,13546,3090,17947,4824,11287,9611,5842,16889,4644.62
